"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 95","500.70","487.40","508.10","479.70","-","2.73%"
"Feb 95","487.40","470.40","489.20","469.30","-","3.61%"
"Jan 95","470.40","459.20","471.40","457.20","-","2.42%"
"Dec 94","459.30","453.60","462.70","442.90","-","1.23%"
"Nov 94","453.70","472.30","472.30","444.20","-","-3.96%"
"Oct 94","472.40","462.70","474.70","449.30","-","2.10%"
"Sep 94","462.70","475.50","475.50","458.50","-","-2.69%"
"Aug 94","475.50","458.30","477.60","456.10","-","3.75%"
"Jul 94","458.30","444.30","459.30","443.60","-","3.15%"
"Jun 94","444.30","456.50","463.20","439.80","-","-2.67%"
"May 94","456.50","450.90","457.80","440.80","-","1.24%"
"Apr 94","450.90","445.70","452.80","435.90","-","1.14%"
"Mar 94","445.80","467.20","471.10","436.20","-","-4.56%"
"Feb 94","467.10","481.60","482.20","464.30","-","-3.01%"
"Jan 94","481.60","466.50","482.90","464.40","-","3.26%"
"Dec 93","466.40","461.90","471.30","461.40","-","1.00%"
"Nov 93","461.80","467.80","469.10","454.40","-","-1.28%"
"Oct 93","467.80","458.90","471.10","456.40","-","1.94%"
"Sep 93","458.90","463.60","463.80","449.60","-","-1.01%"
"Aug 93","463.60","448.10","463.60","446.90","-","3.46%"
"Jul 93","448.10","450.50","451.10","441.40","-","-0.53%"
"Jun 93","450.50","450.20","455.60","442.50","-","0.07%"
"May 93","450.20","440.20","454.60","436.90","-","2.27%"
"Apr 93","440.20","451.70","452.60","432.30","-","-2.55%"
"Mar 93","451.70","443.40","456.80","441.10","-","1.87%"
"Feb 93","443.40","438.80","450.00","428.20","-","1.05%"
"Jan 93","438.80","435.70","442.70","426.90","-","0.71%"
"Dec 92","435.70","431.40","442.60","428.60","-","1.00%"
"Nov 92","431.40","418.70","431.90","415.60","-","3.03%"
"Oct 92","418.70","417.80","421.20","396.80","-","0.22%"
"Sep 92","417.80","414.00","425.30","412.70","-","0.92%"
"Aug 92","414.00","424.20","425.10","408.30","-","-2.40%"
"Jul 92","424.20","408.20","424.80","407.20","-","3.95%"
"Jun 92","408.10","415.40","417.30","399.90","-","-1.76%"
"May 92","415.40","414.90","418.80","409.90","-","0.12%"
"Apr 92","414.90","403.70","416.30","392.40","-","2.77%"
"Mar 92","403.70","412.70","413.80","401.90","-","-2.18%"
"Feb 92","412.70","408.80","418.10","406.30","-","0.95%"
"Jan 92","408.80","417.00","421.20","408.60","-","-1.99%"
"Dec 91","417.10","375.10","418.30","371.40","-","11.17%"
"Nov 91","375.20","392.50","398.20","371.60","-","-4.41%"
"Oct 91","392.50","387.90","393.80","376.10","-","1.19%"
"Sep 91","387.90","395.40","397.60","382.80","-","-1.90%"
"Aug 91","395.40","387.80","396.80","374.10","-","1.96%"
"Jul 91","387.80","371.20","387.80","370.90","-","4.47%"
"Jun 91","371.20","389.80","389.80","368.00","-","-4.77%"
"May 91","389.80","375.40","389.90","365.80","-","3.84%"
"Apr 91","375.40","375.20","391.30","370.30","-","0.05%"
"Mar 91","375.20","367.10","379.70","363.70","-","2.21%"
"Feb 91","367.10","343.90","371.00","340.40","-","6.75%"
"Jan 91","343.90","330.20","343.90","309.40","-","4.15%"
"Dec 90","330.20","322.20","334.00","322.00","-","2.48%"
"Nov 90","322.20","304.00","323.00","301.60","-","5.99%"
"Oct 90","304.00","306.10","319.70","294.50","-","-0.69%"
"Sep 90","306.10","322.60","326.50","296.00","-","-5.11%"
"Aug 90","322.60","356.10","357.40","306.20","-","-9.41%"
"Jul 90","356.10","358.00","369.80","350.10","-","-0.53%"
"Jun 90","358.00","361.20","368.80","351.20","-","-0.89%"
"May 90","361.20","330.80","362.30","330.80","-","9.19%"
"Apr 90","330.80","339.90","347.30","327.80","-","-2.68%"
"Mar 90","339.90","331.90","344.50","331.10","-","2.41%"
"Feb 90","331.90","329.10","336.10","322.10","-","0.85%"
"Jan 90","329.10","353.40","360.60","319.80","-","-6.88%"
"Dec 89","353.40","346.00","354.10","339.60","-","2.14%"
"Nov 89","346.00","340.40","346.50","330.90","-","1.65%"
"Oct 89","340.40","349.10","360.40","327.10","-","-2.49%"
"Sep 89","349.10","351.40","354.10","341.40","-","-0.65%"
"Aug 89","351.40","346.10","352.70","339.00","-","1.53%"
"Jul 89","346.10","318.00","346.10","317.30","-","8.84%"
"Jun 89","318.00","320.50","329.20","314.40","-","-0.78%"
"May 89","320.50","309.60","323.10","304.10","-","3.52%"
"Apr 89","309.60","294.90","310.40","294.40","-","4.98%"
"Mar 89","294.90","288.90","300.00","286.50","-","2.08%"
"Feb 89","288.90","297.50","300.60","286.30","-","-2.89%"
"Jan 89","297.50","277.70","297.50","273.80","-","7.13%"
"Dec 88","277.70","273.70","280.40","270.50","-","1.46%"
"Nov 88","273.70","279.00","280.40","262.90","-","-1.90%"
"Oct 88","279.00","271.90","283.90","268.80","-","2.61%"
"Sep 88","271.90","261.50","274.90","257.00","-","3.98%"
"Aug 88","261.50","272.00","274.20","256.50","-","-3.86%"
"Jul 88","272.00","273.50","276.40","262.50","-","-0.55%"
"Jun 88","273.50","262.20","276.90","262.10","-","4.31%"
"May 88","262.20","261.30","263.70","248.80","-","0.34%"
"Apr 88","261.30","258.90","272.10","254.70","-","0.93%"
"Mar 88","258.90","267.80","272.60","256.10","-","-3.32%"
"Feb 88","267.80","257.10","267.80","247.80","-","4.16%"
"Jan 88","257.10","247.10","261.80","240.20","-","4.05%"
"Dec 87","247.10","230.30","253.30","221.20","-","7.29%"
"Nov 87","230.30","251.80","257.20","225.80","-","-8.54%"
"Oct 87","251.80","321.80","328.90","216.50","-","-21.75%"
"Sep 87","321.80","329.80","332.20","308.60","-","-2.43%"
"Aug 87","329.80","318.70","337.90","314.50","-","3.48%"
"Jul 87","318.70","304.00","318.90","302.50","-","4.84%"
"Jun 87","304.00","290.10","310.30","286.90","-","4.79%"
"May 87","290.10","288.40","298.70","277.00","-","0.59%"
"Apr 87","288.40","291.70","303.60","275.70","-","-1.13%"
"Mar 87","291.70","284.20","302.70","282.30","-","2.64%"
"Feb 87","284.20","274.10","287.60","273.20","-","3.68%"
"Jan 87","274.10","242.20","281.00","242.20","-","13.17%"
"Dec 86","242.20","249.20","254.90","241.30","-","-2.81%"
"Nov 86","249.20","244.00","249.20","235.50","-","2.13%"
"Oct 86","244.00","231.30","244.50","231.30","-","5.49%"
"Sep 86","231.30","252.90","254.10","228.10","-","-8.54%"
"Aug 86","252.90","236.10","254.20","231.90","-","7.12%"
"Jul 86","236.10","250.80","253.20","233.10","-","-5.86%"
"Jun 86","250.80","247.30","251.80","238.20","-","1.42%"
"May 86","247.30","235.50","249.20","232.30","-","5.01%"
"Apr 86","235.50","238.90","245.50","226.30","-","-1.42%"
"Mar 86","238.90","226.90","240.10","222.20","-","5.29%"
"Feb 86","226.90","211.80","227.90","210.80","-","7.13%"
"Jan 86","211.80","211.30","214.60","202.60","-","0.24%"
"Dec 85","211.30","202.20","213.10","200.10","-","4.50%"
"Nov 85","202.20","189.80","203.40","189.40","-","6.53%"
"Oct 85","189.80","182.10","190.20","181.20","-","4.23%"
"Sep 85","182.10","188.60","188.80","179.40","-","-3.45%"
"Aug 85","188.60","190.90","192.20","186.10","-","-1.20%"
"Jul 85","190.90","191.80","196.10","189.30","-","-0.47%"
"Jun 85","191.80","189.60","191.80","185.00","-","1.16%"
"May 85","189.60","179.80","190.00","178.30","-","5.45%"
"Apr 85","179.80","180.70","183.60","177.90","-","-0.50%"
"Mar 85","180.70","181.20","183.90","176.50","-","-0.28%"
"Feb 85","181.20","179.60","183.90","177.80","-","0.89%"
"Jan 85","179.60","167.20","180.30","163.40","-","7.42%"
